text,type,pred
"Next, on April 8,2001 they got a picture of the Face,""Malin's team captured an extraordinary using the camera's absolute maximum resolution. Each pixel in the 2001 image spans 1.56 meters, compared to 43 meters per pixel in the best 1976 Viking photo."" So overall the technology for the camera was very equiped. ",rebuttal,claim
"Therefore, the conspiracy theorists may have some thoughts that make NASA ponder about ",counterclaim,claim
"Such as, NASA could be lying to us all and making us to believe that there is no such thing as extra terestrial objects and such. Here are some interesting theories that government should give us answers on, is the world really round, do aliens exist, is NASA lying, is there really a so called space, could aliens be demons, and overall is the government lying and hiding a bunch of theories from us. In fact they may have those answers to our natural questions about life ",evidence,claim
Because you're supposed to keep all your attention in driving and in the road all times. Texting and driving can kill in split seconds-just the amount of time it takes to send a quick text message. ,claim,evidence
"Cell phones cause many distractions, there are numerous amounts of risks while texting behind the wheel and it slows down your reaction time. Therefore its very dangerous using your phone and operating a vehicle be at the same time. Because anything can happen in any moment you can get in a harsh accident just by texting someone or just picking up or phone in general. ",evidence,evidence
"Cognitive distractors are anything that takes your mind off the road like engaging in a conversation via text or talking on the phone, or trying to operate your navigating system while route. And lastly, manual distractions which are any distractors causing you to take your hands off the wheel such as reaching for your phone to send that quick text. ",evidence,claim
If you are texting and driving it's not a good idea unless if it's something extremely important for an example like important call very important and you need to know what it is or an important text that is necessary to know. ,counterclaim,claim
Simply because someone feels like they must respond to a text immediately is why many of the accidents occur and most of the time this lead to a vehicular accident that can result in death. ,rebuttal,evidence
Teens to the ages 16 and 18 are using their phones and driving they are getting find by the police. ,claim,evidence
The find cost about $500 to $800 just because they were texting and driving. Many people think they're not a problem with texting and driving I feel everyone has the responsibility to put the phone down and keep your eyes on the road and drive safely.             ,evidence,claim
"It is inevitable for students to have different interests, hobbies, and circumstances. For example, some students may enjoy staying in the comfort of their home while others may enjoy the adventures of the outdoors. All students partake in different activities during the summer; it could include a summer job, sports team, or vacations. All of these factors influence a student's life, and this sets one student apart from another ",evidence,evidence
"Each student should be able to incorporate the experiences of their summer break into their project, eliminating the regulatory aspect of a teacher-designed project. ",claim,claim
"For some students, regulation and routine can be exhausting. ",claim,claim
"The whole school year is an on-going cycle of the same routine, with little variations. Summer break should quite literally be a break from that, allowing students to stray away from the same routine. For this reason, schools should encourage creativity and free-will through summer projects. Furthermore, allowing students to design their own project gives them a sense of control which might encourage students to actually complete the project. 
",evidence,evidence
Some may argue that student-designed projects are a bad idea because students need discipline and the possibility that the goal of continuous learning would not be achieved is greater. ,counterclaim,claim
This argument is false because discipline is not always effective ,rebuttal,claim
Guiding students down the right path while encouraging their own ideas is a more effective approach to helping students learn. ,claim,evidence
"Even though a clear outline of directions are given to the student, if a student finds no enjoyment in the process, then it is less likely the project will even be completed. The goal is not to control the student, but to aid the process of learning. ",evidence,evidence
"I support It also because it never hurts to learn new things about someone or something, but I think the thing that is stopping us is the cost that it takes to send something up there and there is no point to just send someone up there to die. ",evidence,claim
What i like about this article is that it talks about a lot of things Venus has in common with earth and a lot of thing Earth and Venus have thats different then each other. ,claim,claim
Somethings Earth and Venus have in common together is they are both reletivily the same and they are really close to each other in distance. ,evidence,evidence
"But some differences are is Earth is ble top have life on it and Venus is not because the heat, pressure, and the chemicals in the air. ",evidence,claim
"During the summer, students would need time to de-stress over school. Therefore, students should be able to construct projects that are comfortable for them. ",claim,claim
"Some may say that all school projects should be designed by the teacher, ",counterclaim,claim
"they are not the students. Occurring over the summer, school projects should be designed by the student because of the students knowledge of their struggles, they are their own success, and it should be a comfortable leaning opportunity. ",rebuttal,claim
"Being aware of your own flaws if something nearly everyone is great at, and working to better yourself is the next step in that process. When I was younger, everyone would assume that I was just a kid and didn't understand that I was doing wrong. Although I may not have taken action upon it, I knew that not doing work or submitting to peer pressure was bad. ",evidence,claim
Student's understand their faults and they know what they need to work on to fix them. ,claim,evidence
"Knowing your faults is one thing, but acting upon them is important. Many students, when given a choice in their work, will choose not to work hard or procrastinate upon them. I can attest to this myself, as I set many self projects for myself that I do not complete. Students who are hard working and care about their grade will complete their goals. ",evidence,claim
"Self made projects put the student in charge of their work and help them understand that they must complete it. 
",claim,evidence
"Summer is a break time off of school, therefore, students should not have to be given work that could be stressing or uncomfortable. Tens of thousands of students drop out of education due to stress and is part of the reason why there is such a large time interval between the beginning and end of the school year. Any extra work after school has ended should be kept to a comfortable, non-stressful amount of work ",evidence,claim
Seagoing Cowboy program is amazing. Don't you want to be inspired to do good ,evidence,claim
Honestly helping someone would feel great. ,evidence,claim
This program is also a great way to get in touch with nature on the sea. ,claim,claim
"Plus the cattle that is on the boat and there is more from where that came from. 
",evidence,evidence
Helping someone is a great job to have. ,claim,claim
Even the places you go will be a great learning experience. ,claim,evidence
Learning different cultures and lauguges is a great way to get closer into loving this job. ,evidence,evidence
"It seems that it can beused to look at the muscles of the human face. they can be used to represent emotions such as fear,sadness hapyness,disgust and even anger. to me it all make sense becuase back then schools didnt use many laptopsao back then it wouldve been useless. ",evidence,claim
In the article it explianshow using this in school it can show if people are stressed and bored as well as tired. it can be used to base ur lessons depnding on ur mood as it is being scanned ,evidence,claim
"students can use this to help study or get help on things in school that they dont understand. it could as well improve on grades wwhen testing comes around. 
",claim,evidence
this famous new kind of technology has been used on a old painting the mona lisa. she is a famous painting that has a grand total of 83%happyfe 9%disguted. and 2% angry in lifethis technology csn be useful yo us ,evidence,evidence
"Although this software may serve as an effective source of profit for online corporations, it has no valueable place in classrooms. ",claim,evidence
"In the sixth paragraph of the article ""Making Mona Lisa Smile,"" the author illuminates the possibilites of success human-emotion-recognizing computer software provides in terms the world of marketing, describing how analyzing the emotional response to a Web ad popping up on one's computer screen can mold the variety of its future ads to a more preferred selection (6). ",evidence,evidence
"While this software may be helpfully applicable to marketing schemes, its analyzation of human emotions would only deter from a student's learning in the classroom due to its possible misinterpretations and miscalculations ",claim,claim
"Verbal human communication is relied upon to determine what about a lesson plan confuses a student, and although a computer might register a student's confused expression and recognize that the lesson pace might be too fast for this individual scholar, the computer would be unable to pinpoint what exactly the student fails to understand. Other events may be weighing down heavily on a student's mind, causing their face to contort and convey the emotions brought on from factors outside of the learning setting. A change in emotion not caused by a difficult lesson plan would cause the software to possibly alter the lesson pace when the student did not require any adjustment and ultimately generate frustration in the already distressed student. ",evidence,claim
some people se the limiting of car usage as less tense ,claim,claim
""" When I had a car I was always tense. I'm much happier this way"" said heidrun Walter, a mother of two. when you have a car you'll have to find space for it as well as a house to buy. There are only two places to park at the edge of a development, where a car-owner has to pay $40,000, along with a home. ",evidence,evidence
"passenger cars are responcible for 12 percent of greenhouse gas emissions in Europe, and up to 50 percent in the United states. with less cars people have the advantages of being a walk away from a store instead of a highway ",evidence,evidence
With less cars that give off gas emissions the less our ozone will deplete. ,claim,evidence
"Lucky for us Americas love affair twords vehicles seem to be coling down. When the number of child growth grew, the number of miles driven dropped steadly down in 2005. ",evidence,claim
With cars the rodes are more dangerous anything could happen to anyone or anything. ,claim,claim
How would the students enjoy their summer and knowing that they got projects that is due before school starts again ,claim,claim
If we call it summer break then the students shouldn't get any summer projects thats gonna ruin the break for them. Let them enjoy their summer break ,evidence,claim
I understand where they teachers are coming from and trying to assign the students these summer projects and making sure they are ready for their upcoming classes. ,counterclaim,claim
I do understand why teachers believe that summer projects would help students continue learning. Summer projects does help students stay on task and busy and prepare them for their upcoming classes. ,counterclaim,claim
Summer projects are beneficial but students don't understand that. The students been in school for so long that at this point they just want summer break to come. Summer is time where the students can relax their minds and be stress free for little. You also gotta understand that some students don't have the time for it. ,rebuttal,claim
"there are students that play summer sports, there are students that work in summer to provide money for them self or help their families out. How would they do that knowing they got summer projects due and stress about not having enough time to do it. ",evidence,claim
A project designed by the students would guide them to putting more effort into it ,claim,evidence
it would help teach some independence ,claim,evidence
would be less of a chore to the students. ,claim,claim
"Because the projects are student designed, the students will feel a greater sense of responsibility for it, and will put more effort into it, which will up the quality of the projects. ",claim,evidence
"When a student feels responsible for a project, they will go to greater lengths to ensure that they do it right, and that it turns out good.

No one wants something that is entirely their own to turn out bad.

The students will have greater creative liberty with how they execute it.

This flexibility will accomodate every student, no matter how they learn best.

Wether it be writing a paper, painting a picture, creating a diagram, or making a website, the students would be able to learn in whatever way they do best, no matter what that way may be.

Students will be better at ensuring that all details of the project are included.

If they are the ones to decide what the project includes, there is no way they can fall short of the information required.

Making it a student led project will allow the students to take a significant amount of pride in it, that does not come with other projects.

Having the students design their own projects would allow the students to try new styles of projects.

Perhaps the teachers they have do not assign a specific type of project that a student really enjoys.

The students would be able to do that type of project.

The students could also have the desire to try a new style of project.

The projects that are assigned at school can often be redundant or generally overdone.

Having the students design their own project will allow the students to try something new and possible adopt a preferred way of completing projects.

Having the students do the projects that they want to so will also help communicate to the teachers what the students want.

When a teacher sees a new and unique way of leaning, they could potentially use it in the future as a new and more captivating way of teaching. ",evidence,claim
This will be a wonderful chance for the students to obtain some independance that is not really offered at school. ,claim,claim
"Usually when assigned a project, there is a paper that has all of the requirements layed out in a convenient guidline for the students to follow.

Between the guidline and the teachers constant presence, the project loses a majority of its independance.

Having a project that is entirely up to the students will allow the students to learn to be more independant, which will come in handy later on in life. 
",evidence,claim
"Student designed means every aspect.

They would be able to base their project on whatever they want. ",claim,claim
"This would give them an opportunity to research something that they don't already know anything about.

Often students cannot pursure their interests because of all their other responsibilities.

Many students cannot take the classes that they wish to take becuase they have other classes that they are required to complete in order to graduate.

Becuase there is no determined subject of the project, the students will have the rare chance to research whatever they want to.

This could even be a time where the students could learn something that is not taught in school at all. This also applies to classes that they may be taking that they do not do many projects in.

This would give them the chance to use and display the knowledge that they already have.

Similarly to the style of projects, upon seeing all of the topics that interest the students, the teachers may be inclined to add some of the topics to their curriculum, which would once again encourage the students to be more interested in their classes.

When one student is interested in something, it is more than likely that other students will be the same.

Though it is important for students to work with topics that are already somewhat familiar to them, it's also very important for students to step outside of their comfort zone into something entirely new.

When a student begins learning about a topic with an open mind and a goal to learn, they may find more than a project, they may find a passion.

It's very important to allow students to explore new interests while still in highschool.

Being in the smae routine for years may put a student into the mindset that they should not change what they are already doing, or it could even discourage students from pursuing new interests.

It is important that students find these interests so that they will have an idea of what they want to do when they go to college, or when they step out into the world as adults. ",evidence,claim
"First, cell phones are a benefit and allows everyone to have access to a telephone at all times of the day. 
",claim,claim
"Kids, teenagers, adults, even grandparents have cell phones.

As you pay attention to people that you pass by whether it's in traffic or walking, there is a cell phone in toat.

While riding a bike, people are on the phone.

While driving cars, people are on the phone.

While sitting waiting for a bus, people are on the phone.

Even while people are walking they are on the phone.

Do they get any break?

The phone that is?

",evidence,evidence
"With all of this phone use where is the focus of the individual?

Individual focus does not exist when everyone is on their cell phone. 
",claim,rebuttal
"Whether they are looking at the weather, SnapChat, Facebook, or Instagram, they are still not focused on their surroundings.

With the lack of focus there have been more accidents and deaths.

Accidents occur when you are distracted and death can easily follow.

While driving the attention needs to be on the road.

There have been documentaries where those that have lost loved ones due to inappropriate cell phone use read the last message that was sent or the last words that they user said.

Many times that call or message wasn't that important and could have waited. 
",evidence,evidence
"because in paragraph 2 it says "" how can a computer recognize the subtle facial movements we humans use to express how we feel ",evidence,claim
Why would we let a computer decide the way we feel when we already know how we feel ,claim,counterclaim
"The Mona Lisa was made to not show any emotions so why add emotions to the picture . Also in paragraph one its says "" Dr. Huang and his colleague are experts at developing better ways for humans and computers to comminicate "" ",evidence,claim
I feel as if we depend on technology to much and technology is taking over the world . ,claim,claim
"For example in paragraph 6 it says "" A classroom computer could recognize when a student is becoming confused or bored"" Dr. Huang predicts . ""Then it could modify the lesson , like an effective human instructor ."" That is what the teacher is here for to modify the lesson if the student does not understand the assignment . Why let a computer take over ?  ",evidence,claim
"because sometimes people do not want show they emotions or feeling, for example: ",claim,counterclaim
"If a girl of school that has depression or personal problems and she do not want talk abaut that with her teacher or consuler and this girl is thinking in kill herself, if the school have the Facial Action Coding System the professor can save her life, that a great experiment, but one thing is all school can't have it because are expense so this experiment can't help to all students or families that need.

In the article ""Making Mona Lisa Smile"" by Nick D'Alto, the Dr. Huang says ""The facial expressions for each emotion are universal"" he is trying to said that they experiment is not just for people, he is says that is universal so that mean is for all that have face or that the Facial Action Cording System can read emotions for example:The Facial Action can read the Renaissance painting, Mona Lisa. ",evidence,claim
Like see if they need help or if they aren't feeling good. Mostly things like that. You could also use it to see if kids are lying or not when they get in trouble and have to go to the principle or when they get in trouble at home. ,evidence,evidence
"Mona Lisa: 83% happy, 9% disgusted , 6% fearful, and 3% angry! When Mona Lisa was painted in 1503 we had no clue how she was really feeling. But with the FACS it is now easy to see how she was feeling. That is a good thing because it could help us in the future with life or death situations. ",evidence,evidence
Venus Is a similler planet like Earth but only its density and size of the planet. ,claim,claim
"Venus Is a Extreme planet, the conditions on Venus are bad, in Venus almost 97 percent of carbon dioxide blankets Venus. The clouds in Venus are different, there clouds of highly corrosive sulfuir acid is in the atmosphere. On Venus the surface temperatuer avage is 800 degrees Fahreanheit acording to the artical. Those are some extreme temperatuers for a human and for a space craft to be stay in Venus. In Venus the pressure is 90 times greater than what we experience in Earth, humans or machines can not with stand the heat or pressure of the atmosphere. ",evidence,claim
Humands cant live in these types of conditions like Venus has a person can end up dead and a machien or a ship can melt ,claim,claim
"No even a space ship or human landed on Venus in these types of conditions. Samples have not even been taken like rocks or gases because of these conditions in Venus. These types of misions can be super risky to do becasue of they extreme conditions the planet has. Earth and Venus are different, Earth has less extreme conditions than Venus dose but later on NASA is trying to find ways to see how they can have protection on there spacce ships and people to try to get some samples from Venus. 
",evidence,claim
"""Luke also found time to have fun ",claim,claim
the fun they had was baseball and volleyball ,evidence,claim
"Luke has a lot of things to do because it says, He was working two part jobs in a grocery store and a bank his friend Don Reist invited him to go ona Europe on a cattle boat. So you can tell they go on alot of adventures all the time because in the text it says, ""It took about two weeks to cross the Atlantic ocean from the eastern coast of the United States annd a month to get to China"". Luke and Don are always prepared to go to places because it says, ""Katie's farm a boy came to Luke to prepare him for the for hrd work not the dangers at sea and his job was to watch the animals every hour ",evidence,evidence
Luke got to see new things ,claim,claim
"""It opened the world to him i'm grateful for the opportunity he says, It made me more aware of people of other countries"". ",evidence,claim
Luke had to watch alot of animals ,claim,claim
"""UNRRA hired seagoing cowboys to take care of the horses, young cows, and mules that were shipped overseas"" ",evidence,claim
The captain he slid down a slippery ladder on his backside Luke's heart bursted like 300mph. As he vrrrrooommmeeeddd a opening on the side of the ship a long strip of metal stopped his slide from falling into a dark Atlantic. ,evidence,claim
"On his ship they have so much fun activities I know this because in the text it says, ""That they have table tennis tournaments, fencing, boxing reading and whittling"". ",evidence,evidence
Luke said that the day in pacific war ended they got there seaman's paper's and boarded the SS Charles W. Wooster headed for greece. ,evidence,claim
"because, he tells why its important to study venus and why it is the worthy pursuit despite the dangers. ",claim,evidence
"The author also says ¨venuse is the closest planet to earth in terms of density and size¨.They have aslo sent numerous spacecrafts and have done previouse missions. The pervious missions was unmanned. There has not been a spaceship that has touched venuse and why, the author said that gthe reason that spaceship or has not landed was becuse it would not last mor than just a few hours. ",evidence,claim
"The author supports the idea that studying venus is worthy pursuit despit the dangers, because know that i read the story icould see why. ",claim,claim
some say that teacher-design is better and more effective ,counterclaim,claim
by opening up their imagination and also expands their creativity. ,claim,claim
"Summer is mean't for fun and laughter, not being kept inside all day working on a project the teacher assigned over summer break. The whole point of summer is being away from school and having a vacation. So wouldn't students prefer to do a project about something that they are passionate about? Indeed, studies show that when students do school work that they choose and are passionate about their work ends up being more creative and overall better performance. Students are just growing up and in school they aren't allowed to truly express themselves because they are either too shy or the class doesn't discuss their interests. Teenagers only want to do and listen to what they want, they don't want a teacher giving them homework over summer break not even to mention that it is not something they enjoy. ",evidence,claim
students grow up doing what they are told by their parents and teachers. ,evidence,claim
The author uses facts and information to back this idea up. ,claim,evidence
The author has facts on poor conditions on Venus then gives us information and ideas on ways to overcome. ,claim,evidence
The author is using a problem and solution method. ,claim,claim
The author supported the idea with facts and more ideas that would make it safer and beneficial to us if we travel to Venus for further examination ,claim,evidence
"In the article the author talks about how Venus has really bad conditions, but they are all just challenges that can be overcome ",claim,claim
These challenges are the main thing holding us back from exploring further. The author believes that our travels beyond Earth should'nt be limited by dangers and doubts. ,evidence,claim
The article also talkes about how we need longer lasting technology for further research ,claim,claim
"It mentions mechanical computers and how they don't require electronics at all. The author suggests using the mechanical parts, like the ones used in the mechanical computers, and using them to create technology that will last longer on Venus. This would allow for more research. More research means better understanding of Venus which will allow for better technology to with stand the conditions. ",evidence,claim
"In the paragraph above the author gives us a problem on how our technology can't survive the conditions, because the systems get fried and break. Then the author gives us a possible solution to our problem. ",claim,claim
The author gives us a new idea for better technology. The author uses a problem and solution to support the idea. ,evidence,claim
"One reason I think the face is a landform, is because the sand on that planet builds up and increases into a mountain. ",claim,evidence
"There are also astroids that strike the planet, making the planet have different size shapes on its surface. Also, there are tectonic plates to move the land. 
",evidence,evidence
"One other reason I think it is a landform is because, if aliens were to create the enourmus structure, how would they do it and why would they do it? To me, there is no other explanation other than it was created by natural landforms ",claim,claim
"Also, whos to say that aliens are real or not? It wouldnt matter because even if people said aliens are real, they would need to have evidence explaining why and how aliens accually exist ",evidence,claim
"Student-designed summer projects allow students to choose a topic that they are interested in, ",claim,claim
"be creative, ",claim,counterclaim
enjoy learning. ,claim,counterclaim
"By allowing students to choose a topic that is compelling to them, they will be driven to complete the project with their best effort ",claim,evidence
Students will also have the option to choose a possible career path and research it throughout the summer. ,claim,claim
"With their research and project, students can essentially ""test drive"" their intended career, instead of waiting until college to discover that they are completely uninterested in their major. For example, one student may desire to become an elementary school teacher. In her project, she decides to research how to become a teacher and the skills that the profession requires. After completing her research, she creates a binder of lesson plans that correspond with her state's standards of learning for her grade of choice. Consequently, she discovers that she truly has a passion for teaching and is reassured on her career choice through this student-designed summer project. The skills that she learned, including her lesson plans, can be used if/when she decides to become an elementary school teacher. While students are allowed to explore professional realms through student-designed summer projects, the possibilities are endless. 
",evidence,evidence
"When students have the option to be creative with their project, this captures the interest of many artistic students. ",claim,evidence
"Teacher-designed projects are mostly straightforward, and have clear right and wrong answers. As a result, there is minimal room for creativity and originality. However, student-designed projects give students the ability to create an interesting and creative project, that captivates not only their attention, but the teachers that will evaluate it the next school year. For example, a student who is very creative may choose to design a project that showcases ways to use recycled materials in art. This project not only uses their artistic and creative abilities, but it also incorporates scientific and environmental strategies. ",evidence,claim
Student-designed projects allow students to enjoy learning ,claim,claim
"Some students who may dislike school, may discover a new found love of learning when they are given the opportunity to create the framework of their project. Students are more likely to enjoy a project on a topic that they have a passion for rather than a topic that is simply assigned to them by a teacher. Responsibility skills are also developed as a result of student-designed projects, since they not only are required to complete the project, but they also must develop the project. ",evidence,claim
"However, some teachers dislike student-designed projects since there is no clearly set standards or grading rubric, which results in a lengthy grading period. ",counterclaim,claim
"While this can be true, teachers can create an overall rubric that addresses the key elements that each project must include, no matter the topic. ",rebuttal,claim
by limiting car usage it is possible to relieve stress ,claim,claim
reduce pollution. ,claim,claim
Limiting the use of cars can bring less stress to the everyday driver. ,claim,claim
"When in a car, it is easy to see when the driver is stressed out. Stress accumulates with traffic jams or when someone is becoming infuriated by another driver, who is driving right in front of the other driver and going really slow. There are people who have seen there stress levels drop when they are not in or don't own a car. For instance, a community in Vauban, Germany, at least 70 percent of their residents don't own a car, while 57 percent sold their car to move there. A woman, Heidrun Walter, who is a resident there stated, ""When I had a car I was always tense. I'm much happier this way""(Source 1). This verifies how people can get away from stress by just not having a car. In Bogota, Colombia, there is a day when automobiles are banned for a day, with the execption of buses and taxis. This day has become very popular, and is a ""good opportunity to take away stress""(Source 3), as said by Carlos Arturo Plaza, a business man who rode a two-seat bicycle with his wife on that day. On this day millions Colombians hiked, biked, skated or took buses to work, leaving the streets free of any traffic jam, when a driver gets stressed out he most, as stated in source 3. This shows the number of people who participated in this event and also shows their, less stressful, alternative modes of transportation. ",evidence,evidence
"Along with relieving stress, pollution will become less of a problem ",claim,claim
"Cars are beneficial when it comes transportation, but they can cause harm to the environment as well. Pollution is a major problem in the today's world, and with the number of cars that are in use everyday it will only become worse. Smog or any other type of pollution can cause a city or even a country to take action. Such a Paris, Fance, who put a ban on driving to reduce pollution in their city, which rivaled Beijing, China, known as the one the most polluted cities in the world, as said in source 2. This strenghens the problems that cars pose on the world, these problems can lead to delivery companies losing money because the ban was put up and won't be lifted until the smog is gone. In addition, more information about car pollution can be found in source 1. There it talks about how cars are the ""linchpin"" of suburbs, and how they're ""a huge impediment to current efforts to drasticallly reduce greenhouse gas emissions."" In some places this is slowly resolving itself; places such as the United States have seen a drop in miles driven per person since it's peak in 2009. Sociologists believe that, ""it will have beneficial implications carbon emissions and the environment""(Source 4). This indicates that, while it is a major issue it is not impossible to solve it. ",evidence,evidence
I can detect when people in the classroom are trying to hide therre feeing. ,claim,evidence
"In the text it states that

At least according to some new computer software that can recognize emotions. The software is the latest innovation from prof. THOMAS HUANG, of the beckman institute for advanced science at the university of Illinois, working in collaboration with prof. NICU SEBE of the university of amsterdam. Dr. HUANG and his colleague are experts at developing better ways for humans and computers to communicate. The MONA LISA demonstration is really intended to bring a smile to your face, while it showa just how much this computer can do. Imagne a computer that knows when you're happy or sad. For example if you smile when a web ad appears on your screen, a similar ad might follow. But if you frown, the next ad will be different. a classroom computer could recognize when a student is becoming confused or bored.     ",evidence,claim
because when it scans somebody face it can tell us the percentage of out facial expressions ,claim,evidence
For an example Mona Lisa demonstrates that is really surprising to bring a simlie to your face while the computer shows you based on much percentage of happiness you have right now. ,evidence,evidence
Another example is that the facial technology had a lot of different movements that can track your facial face movements. ,claim,evidence
"Because it all about the muscles in your facial face. They even indicate the difference between a genuine simlie and a force one. You can imagine a computer that knows when your happy or sad or angry or even fear. For example, if you simlie when a web ad is on your screen a very similar ad will pop up again. But if you frown, the next ad will be different. Based on how you act. ",evidence,evidence
Having this new technology would be a better fit with the people because when is feeling down and the other person don't know on how they feel they always use the facial technology to show the percentages of how down they really are. ,claim,evidence
"But for some people they don't need that because we can tell others people facial expressions by just looking at them clearly, which it true. ",counterclaim,evidence
"We already know that if someone is feeling happy,sad,angry,or fear. ",evidence,evidence
A butte and a mesa these are all natural things on our planet Earth. So why do you think that the planet Mars also can't have these things ,claim,claim
Earth is covered in these mesas so more than likely other planets including Mars probably have buttes and mesas ,evidence,evidence
its just coincidentall that it looks like a face. ,claim,claim
"If you go out to the Rocky Mountains and look around you can probably see tons of Mesas maybe not as big ,but they are still the same natural landform ",evidence,evidence
"The mesa is big and does look like a face at first glance ,but there is no way you can prove it. ",claim,claim
"If you look at the image taken from the spaceship Viking 1 from 1976 you can see that only looks somewhat similar to a face. And then 22 years later a picture from a Mars Global surveyor you can see that it very clearly isn't a face and instead just a natural landform. 
",evidence,claim
The only way that this could be an alien artifact is if the martians are inside of it or underneath it. ,claim,claim
"That would explain how the camera can not see any other buildings around the object because they are all inside of it so no one is outside. They also could be inside of the butte because the planet is deadly for some paticular reason and they have shelter inside safely away. And another reason is because inside of the planet there may be some source of running water that is keeping them alive.

Although this could not work because they more than likely would have gotten a picture of a martian outside doing something. And they would need some source of water which has already dried up on the outside of the planet ",evidence,claim
"Venus is sometimes called the ""Evening Star"". Its one of the brightest points of light in the sky, making it simple for even an amateur stargazer to spot. In our solar system, Venus is the second planet from the sun. While Venus is simple to see from the distant but safe vantage point of earth, it has proved a very challenging place to examine more closely.

First, there's a thick atmosphere of almost 97 percent carbon dioxide blankets Venus. On the planets surface temperatures average over 800 degress Fahrenheit, and the atomospheric pressure is 90 times greater that what we expreinced on our own planet. These conditions are far more extreme than anything humans encounter on Earth; such an enviroment would crush even a submarine accustomed to diving to the deepest parts of our oceans and would liqefy many metals. Also notable, Venus has the hottest surface temperature of any planet in our solar system, even though Mercury is closer to our sun. Beyond high pressure and heat, Venusian geology and weather presnt additional impediments like erupting volcanoes, powerful earthquakes, and frequent lightning strikes to probes seeking to land on its surface.

However, peering at venus from a ship orbiting or hovering safely far above the planet can provide only limited insight on ground conditions because most forms of light cannot penetrate the dense atomosphere, rendering standard forms of photography and videography ineffective. More importantly, researchers cannot take samples of rock, gas, or anything else, from a distance. Therefore, scientists seeking to conduct a thorough mission to understand Venus would need to get up close and personal despite the risks. Or maybe we should think of them as challenges. Many researchers are working on innovations that would allow our machines to last long enough to contribute meaningfully to out knowledge of Venus.

Last, NASA is working on other approches to studying Venus. For example, some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for three weeks in such conditions. Another project is looking back to an technology called mechanical computers. These devices were first envisioned in the 1800s and played an important rolein the 1940s during World War 2. The thought of computers existing in those days may sound shocking, but these devices make calculations by using gears and levers and do not require electronics at all. Just imagine exposing a cell phone or tablet to acid or heat capable of melting tin. By comparison, systems that use mechanical parts can be made more resistant to pressure, heat, and other forces. ",evidence,claim
"The selctions I just read contain one common subject:people drive less cars now in the first and second selection both talk about how some neighborhoods ban the use of cars on certian or all days. In the first selection In german suburb, life goes on without cars the author Elisabeth Rosenthal states "" 70 percent of Vauban's families do not own cars, and 57 percent sold a car to move there."" In other words they either had a car but sold it to move or they never had a car to begin with.

In selection 2, it talks about how people are not evven allowed to drive cars on certain days of the week. In paragraph 2 the authour says ""On Monday motorists with even numbered license plates are ordered to leave their cars at home or suffer a 22-euro fine.""

The final 2 selections discuss how studies show that people in America are driving less and less as time passes by. ",evidence,claim
"Venus is often reffered to as Earth's twin because it is the closest planet to be like Earth in terms of density and size, and occasionally the closest in distance too. Venus would be hard to expore becuase of the planet's suface reaching up to 800 degrees Fahrenheit, and the atmosphere pressure is 90 times greater than what we experience on our own planet. Venus has the hottest surface temperature of any planet of solar system and if we tried to land a rover there the metal would just liquify because of the extreme temperature's. NASA however, still wants to try to study the planet but they would have to hover over Venus because of the extreme conditions on the planet's surface. Even at 30 plus miles in the air in Venus the temperatures can reach up to 170 degrees Fahrenheit. However, peering at Venus from a ship orbiting or hovering safely far above the planet can provide only limited insight on ground conditions because most forms of light cannot penetrate the dense atmosphere. Rendering standard of photography and videography ineffective. The solar power would be plentiful, and radiation would not exceed Earth's level.

More importantly, reasearchers cannot take samples of rock, gas,or anything else, from a distance. Threfore, scientists seeking to conduct a thorough mission to understand Venus would need to get up close and personal despite the risks. Many reasearchers are working on innovations that would allow the machines to last long enough to contribute meaningfully to our knowledge of Venus. ",evidence,claim
Teachers wouldn't have to work as hard to figure out what he or she needs to do to help a student learn what they need to learn. This technology can tell what their emotional state is when in the classroom. If they are bored they might not like the way their teacher is teaching them. ,evidence,evidence
"So the teacher can modify the way she teaches that specific lesson, so that the student has a better attitude toward that subject. 
",claim,evidence
"This technology can also help councelers talk to the students that might be having personal problems like bullies, or family issues at home. ",claim,claim
"Kids wouldn't be able to hide their emotions as well with this techlology being in every classrom. For example with a false smile the mouth is stretched sideways using the zygomatic major, and another muscle called the risorius. You cant download the software on a normal computer, so schools would have to pay for the device its-self. It would be extremely expensive but it would help many students in classrooms, or some that need counceling. ",evidence,evidence
"Humans perform this type of calculation every day, for instance when you ask a friend if they are ok, because they look depressed or angry. We can perform this calculation as accurately as the current technology we have now. ",claim,claim
For example Leonardo da Vinci used this type of calculation and knew exactly how her face needed to look in order to get the emotions he was looking for. ,evidence,evidence
